recon name	has match in metaCyc	ids	number of reactions included
11-cis-eicosenoate	True	BITHHVVYSMSWAG-UHFFFAOYSA-N 32425 HMDB02231 C16526 142770 LMFA01030085	1	CPD-12189  ;  CPD-14927	C20H37O2
(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	False		1
trans-eicos-2-enoyl-CoA	True	ROOFWBIMBMJYGA-XTSUOFIPSA-N	2	CPD-15363  ;  CPD-8171  ;  CPD-14928	C41H68N7O17P3S1
((N-acetyl-D-glucosaminyl)3-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	False		2
Spermidine	True	ATHGHQPFGPMSJY-UHFFFAOYSA-N 16610 HMDB01257 C00315 1102	10	SPERMIDINE	C7H22N3
decenoylcoa	True		1	CPD-14925  ;  CPD-12896  ;  T2-DECENOYL-COA	C31H48N7O17P3S1
chondroitin sulfate C (GalNAc6S-GlcA), degradation product 5	False		1
6,7-dihydro-5-oxo-12-epi-leukotriene B	True	RUTQOBJLGHUCJC-GOSISDBHSA-N	3	CPD-2044  ;  CPD-11568  ;  5Z8Z10E14Z-12S-12-HYDROPEROXYICOS  ;  6E8Z11Z14Z-5S-5-HYDROPEROXYCOSA-6  ;  5Z9E11Z14Z-8R-8-HYDROPEROXYICOSA-TETRAEN  ;  CPD-1911  ;  6Z8E10E14Z-5S12R-512-DIHYDROXYI  ;  5Z8Z11Z13E-15S-15-HYDROPEROXYICOS  ;  CPD-16171  ;  CPD-1912	C20H31O4
D-Alanyl-D-alanine	True	DEFJQIDDEAULHB-QWWZWVQMSA-N 16576 HMDB03459 C00993 5460362	1	D-ALA-D-ALA	C6H12N2O3
chondroitin sulfate D (GlcNAc6S-GlcA2S), free chain	False		1
Urocanate	True	LOIYMIARKYCTBW-OWOJBTEDSA-N 27248 HMDB00301 C00785 736715	3	UROCANATE	C6H5N2O2
sphingomyelin betaine	False	58216	4
L-xylonate	True	QXKAIJAYHKCRRA-NUNKFHFFSA-N 48092 C05411 6971043	1	CPD-1114  ;  CPD-1117  ;  CPD-373  ;  CPD0-1198  ;  L-XYLONATE  ;  CPD-8902  ;  D-XYLONATE	C5H9O6
trans-3-methylglutaconyl-CoA(5-)	True	ZMMFWDHIXCPOHZ-BIEWRJSYSA-N 57346 HMDB01057 C03231 5462214	2	TRANS-3-METHYL-GLUTACONYL-COA	C27H37N7O19P3S1
3-mercaptopyruvate	True	OJOLFAIGOXZBCI-UHFFFAOYSA-N 16208 HMDB01368 C00957	5	3-MERCAPTO-PYRUVATE	C3H3O3S1
L-valine	True	KZSNJWFQEVHDMF-BYPYZUCNSA-N 16414 HMDB00883 C00183 6287 LMFA01100046	23	VAL	C5H11N1O2
(2E)-Octenoyl-ACP	False	C05751	2
N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R	False	C04946	1
mannosyl-glucosaminyl-acylphosphatidylinositiol (H2)	False		3
creatine	True	CVSVTCORWBXHQV-UHFFFAOYSA-N 16919 HMDB00064 C00300	3	CREATINE	C4H9N3O2
L-dopachromate	True	VJNCICVKUHKIIV-LURJTMIESA-N 15772 HMDB01430 C01693 5459802	5	L-DOPACHROME	C9H6N1O4
3-hydroxytetracosanoyl-CoA	False	QIBKBVRVOFIKLN-SBPVGHMXSA-N 52326 25229585 LMFA07050073	2
Histone N6-methyl-L-lysine	False	C03702	0
1-Acylglycerol-3P-ol	False		0
octadecenoylcoa	True		2	CPD-10270  ;  CPD-10262  ;  OLEOYL-COA	C39H64N7O17P3S1
20-hydroxy-leukotriene B4(1-)	True	PTJFJXLGRSTECQ-RTBURBONSA-N 15646 HMDB01509 C04853 5280745 LMFA03020018	2	20-OH-LTB4	C20H31O5
N-methyl-4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline	True	PIJDIPDQQMXWEM-UHFFFAOYSA-N 157875	1	ALPHA-METHYL-TYROSINE  ;  L-TYROSINE-METHYL-ESTER	C10H13N1O3
12,13-epoxy-9-alkoxy-10E-octadecenoate	True	FILPLNYDXWIUGJ-UHFFFAOYSA-N	2	OCTADEC-9-ENE-118-DIOIC-ACID	C18H30O4
3beta-hydroxy-5-cholestene-27-oate	False	WVXOMPRLWLXFAP-GPMUBMIHSA-N	2
trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	True	MPYXOYHSKAAPLW-LYEKXVOZSA-N HMDB06530 C11945 53477851	2	CPD-1827  ;  T2-C4-DECADIENYL-COA	C31H46N7O17P3S1
xylitol	True	HEBKCHPVOIAQTA-SCDXWVJYSA-N 17151 HMDB02917 C00379 6912	3	XYLITOL	C5H12O5
2-hydroxyphytanoyl-CoA(4-)	True	WNVFJMYPVBOLKV-YLNUKALLSA-N 15475 HMDB01295 C07343 11966142	4	2-HYDROXYPHYTANOYL-COA	C41H70N7O18P3S1
13-cis-retinoate	True	SHGAZHPCJJPHSC-UHFFFAOYSA-N 6067 HMDB06219 D00348 5282379 LMPR01090021	11	CPD-8725  ;  CPD-13549  ;  RETINOATE  ;  CPD-13548	C20H27O2
gama-glutamylglutathione	False	OGLXGJROORSDLD-IWSPIJDZSA-N	1
4(R),8-dimethyl-trans-2-nonenoyl-CoA	False	ZVFQTLFMFGJTNP-NUENEYPJSA-N	2
gamma-Glutamyl-3-aminopropiononitrile	False		1
keratan sulfate I, degradation product 14	False		0
CoA-18-COOH-15E-dinor-LTE4	False	ANLFIWCXIHNIAL-DRSWUCOHSA-N HMDB12911	2
6(R)-hydroxy-tetradeca-2E,8Z-dienoate	False	VQWQOPHSYMUQTK-CYBMUJFWSA-N	2
3-hydroxyanthranilate	True	WJXSWCUQABXPFS-UHFFFAOYSA-N 15793 HMDB01476 C00632	2	3-HYDROXY-ANTHRANILATE	C7H7N1O3
trans,cis,cis-2,11,14-eicosatrienoyl-CoA	True	JLHULLPFTGLIGF-XTSUOFIPSA-N	2	CPD-12648  ;  CPD-12647	C41H64N7O17P3S1
gama-carboxyethyl-hydroxychroman	True	VMJQLPNCUPGMNQ-UHFFFAOYSA-N 133098	2	CPD-13621  ;  4-PRENYLPHLORISOBUTYROPHENONE  ;  CPD-13623  ;  CPD-693  ;  CPD-7731	C15H19O4
2-Deoxy-D-ribose 1-phosphate	True	KBDKAJNTYKVSEK-PYHARJCCSA-N 28542 HMDB01351 C00672 5460448	7	DEOXYXYLULOSE-5P  ;  CPD-15199  ;  DEOXY-D-RIBOSE-1-PHOSPHATE  ;  CPD-12166	C5H9O7P1
3,5,3'-triiodothyroacetate-beta-D-glucuronoside	True	VXVBZMWOWMHXTQ-RHMUGHDZSA-N	1	CPD-11410	C20H15I3O10
6(R)-hydroxy-tetradeca-2E,4E,8Z-trienoate	False	QUFPURXOBLGZGX-CYBMUJFWSA-N	2
5-amino-2-oxopentanoic acid	True	BWHGMFYTDQEALD-UHFFFAOYSA-N 49268 HMDB06272 C01110 LMFA01060169	1	5-AMINO-2-OXOPENTANOATE	C5H9N1O3
Porphobilinogen	True	QSHWIQZFGQKFMA-UHFFFAOYSA-N 17381 HMDB00245 C00931 1021	2	PORPHOBILINOGEN	C10H13N2O4
D-Erythrose 4-phosphate	True	NGHMDNPXVRFFGS-IUYQGCFVSA-N 48153 HMDB01321 C00279 122357	3	ERYTHROSE-4P	C4H7O7P1
acetaldehyde	True	IKHGUXGNUITLKF-UHFFFAOYSA-N 15343 HMDB00990 C00084 177	13	ACETALD	C2H4O1
kinetensin 1-3	False	JXUGDUWBMKIJDC-LMLFDSFASA-N HMDB12983 53481564	1
6-Lactoyl-5,6,7,8-tetrahydropterin	True	HKCYZTKHPLJZDR-UHFFFAOYSA-N 17248 HMDB02065 C04244 169508	2	6-LACTOYL-5678-TETRAHYDROPTERIN	C9H13N5O3
18-hydroxy-all-trans-retinoate	True	GIEPJVBJRPHMTO-UHFFFAOYSA-N HMDB12452 C16679 6506224	1	CPD1F-138	C20H27O3
pectin-taurocholic acid complex	False		1
dolichyl phosphate(2-)	False	57683	26
Electron transfer flavoprotein reduced	False		2
chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 5	False		1
D-ornithinium(1+)	True	AHLPHDHHMVZTML-SCSAIBSYSA-N 16176 HMDB03374 C00515 71082	1	CPD-217	C5H13N2O2
S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]glutathione	False	GAVRWBMQPWMOGY-TZIJJQLOSA-N	1
dIDP	True	BKUSIKGSPSFQAC-RRKCRQDMSA-N 28823 HMDB03536 C01344 439488	3	CPD0-2231	C10H11N4O10P2
N-Acetyl-D-glucosaminyldiphosphodolichol, human uterine homolog	False	18278	2
(S)-3-Hydroxyisobutyryl-CoA	True	WWEOGFZEFHPUAM-UQCJFRAESA-N 28259 HMDB01052 C06000	2	CPD-12173	C25H38N7O18P3S1
11-hydroxy-E4-neuroprostane	True	SNNNEKANAIMPFW-UHFFFAOYSA-N	1	CPD66-62  ;  CPD66-59  ;  CPD66-64  ;  CPD66-61  ;  CPD66-65  ;  CPD66-63	C22H31O5
3-Oxohexanoyl-CoA	True	NFOYYXQAVVYWKV-HDRQGHTBSA-N 27648 HMDB03943 C05269 3082152 LMFA07050018	2	K-HEXANOYL-COA	C27H40N7O18P3S1
keratan sulfate I biosynthesis, precursor 21	False		0
5,10-Methenyltetrahydrofolate	True	MEANFMOQMXYMCT-OLZOCXBDSA-M 57455 HMDB01354 C00445 644350	10	5-10-METHENYL-THF	C20H20N7O6
3-hydroxy trans5,8tetradecadienoyl coa	False		2
3(S),6(S)-dihydroxy-tetradec-8Z-enoate	False	OUPAWBIIPPCTBK-OLZOCXBDSA-N	2
2-methylbutyrylglycine	True	HOACIBQKYRHBOW-UHFFFAOYSA-N 240943 HMDB00339 193872	1	5-ACETAMIDOVALERATE	C7H12N1O3
CDP-diacylglycerol(2-)	False	58332	4
taurochenodeoxycholate	True	BHTRKEVKTKCXOH-BJLOMENOSA-N 16525 HMDB00951 C05465 387316 LMST05040005	1	CPD-7283	C26H45N1O6S1
cholesta-8(9)-en-3beta-ol	True	QETLKNDKQOXZRP-XTGBIJOFSA-N 16608 HMDB06841 C03845 101770 LMST01010096	1	CPD-8621	C27H46O1
D-xylulose 5-phosphate(2-)	True	FNZLKVNUWIIPSJ-RFZPGFLSSA-N 16332 HMDB00868 C00231 439190	3	XYLULOSE-5-PHOSPHATE	C5H9O8P1
3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	False	HPMVBGKWFWCZAY-XMLSFASZSA-N	2
2-aminomuconate 6-semialdehyde(1-)	True	QCGTZPZKJPTAEP-UHFFFAOYSA-N 15745 HMDB01280 C03824 5280625 LMFA01060191	3	2-AMINOMUCONATE_SEMIALDEHYDE	C6H7N1O3
(2S,3R)-2-azaniumyl-3-hydroxyoctadecyl phosphate	True	YHEDRJPUIRMZMP-ZWKOTPCHSA-N 16893 HMDB01383 C01120 644260 LMSP01050002	4	CPD-649	C18H39N1O5P1
(3S)-3-hydroxydodec-cis-6-enoyl-CoA	True	XPCGRNRSXHPWGU-LRGXBGPTSA-N HMDB12476 53481428	2	CPD0-2105	C33H52N7O18P3S1
beta glucan-taurocholic acid complex	False		1
eicosa-5,8,11,14,17-all-cis-pentaenoyl-CoA	False	JWZLRYCDDXHXDL-XTSUOFIPSA-N	2
III3Fuc-nLc6Cer	False		0
ceramide 1-phosphate(2-)	False	57674	1
L-Iditol	True	FBPFZTCFMRRESA-UNTFVMJOSA-N 18202 HMDB11632 C01507 5460044	1	CPD-369	C6H14O6
3,3',5'-triiodothyroacetate	True	XLWNVHQIKWRWOE-UHFFFAOYSA-N 22660069	1	CPD-11404	C14H8I3O4
13-docosenoate	True	DPUOLQHDNGRHBS-UHFFFAOYSA-N 28792 HMDB02068 C08316 8216 LMFA01030089	1	CPD-14292	C22H41O2
Anandamide	True	LGEQQWMQCRIYKG-UHFFFAOYSA-N 2700 HMDB04080 C11695 5281969 LMFA08040001	1	CPD-7598	C22H37N1O2
5-L-Glutamyl-L-alanine	True	WQXXXVRAFAKQJM-WHFBIAKZSA-N 50619 HMDB06248 C03740 440103	2	CPD0-2190  ;  CPD-407  ;  CPD0-1445	C8H13N2O5
3alpha,7alpha-dihydroxy-5beta-cholestan-26-al	True	YWGOKHMOJTZGBN-UGMUFZQESA-N 27428 HMDB06894 C05445 5460041 LMST04030162	5	CPD-10587	C27H46O3
2,6-dodecadienoylcoa	True	ZSJRXHRCABOSNC-XRUZZFSQSA-N HMDB11123 C05279 53480665	4	CPD0-1160	C33H50N7O17P3S1
5beta-cholestane-3alpha,7alpha,27-triol	True	UROPIWALBBMYRP-CVWSJRAXSA-N	1	CPD-8896  ;  CPD-10586  ;  5-BETA-CHOLESTANE-3-ALPHA7-ALPHA12-ALP	C27H48O3
S-Succinyldihydrolipoamide	True	KWKBJWYJJBQOAE-UHFFFAOYSA-N 17432 HMDB01177 C01169 11953795	3	CPD0-341	C12H20N1O4S2
chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 1	False		0
CMP-N-acetyl-beta-neuraminate(2-)	True	TXCIAUNLDRJGJZ-BILDWYJOSA-N 16556 HMDB01176 C00128	20	CMP-N-ACETYL-NEURAMINATE	C20H29N4O16P1
keratan sulfate II (core 4-linked), degradation product 1	False		1
1,4-benzothiazine-o-quinonimine	False	NANJICKTJNNTGA-RQJHMYQMSA-N HMDB12491 53481441	2
3(S)-2-hydroxyphytanoyl-CoA	True	WNVFJMYPVBOLKV-GBKROSJZSA-N 15475 HMDB01295 C07343 441263	2	2-HYDROXYPHYTANOYL-COA	C41H70N7O18P3S1
(S)-lactate	True	JVTAAEKCZFNVCJ-REOHCLBHSA-N 422 HMDB00190 C00186 107689	4	L-LACTATE	C3H5O3
cholesta-5,7,24-trien-3beta-ol	True	RUSSPKPUXDSHNC-DDPQNLDTSA-N 27910 HMDB03896 C05107 440558 LMST01010121	1	CPD-8646	C27H42O1
2,4-decadienoylcoa	True	FASAKYLWSRDQOH-IKZSJNQUSA-N HMDB01168 22833562	4	CPD-1827  ;  T2-C4-DECADIENYL-COA	C31H46N7O17P3S1
trans-docos-2-enoyl-CoA	True	KRTIFNFQCJTGMV-IKNWWIGSSA-N	2	CPD-14281	C43H72N7O17P3S1
3-oxotetracosanoyl-CoA	True	JJSJTIWFKNSCHC-JBKAVQFISA-N 52329 25229583 LMFA07050081	2	CPD-14273	C45H76N7O18P3S1
ethanol	True	LFQSCWFLJHTTHZ-UHFFFAOYSA-N 16236 HMDB00108 C00469 702	4	ETOH	C2H6O1
(4R,8R,12R)-trimethyl-2E-tridecenoyl-CoA	True	XDRCVDXWYZRMDN-ZSWLGLJSSA-N HMDB12480 53481434	2	CPD-10269  ;  CPD0-2117	C37H60N7O17P3S1
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA(4-)	True	MNYDLIUNNOCPHG-FJWDCHQMSA-N 37642 HMDB02178 C05448 15942889	3	CPD-10590	C48H76N7O20P3S1
elaidate	True	ZQPPMHVWECSIRJ-UHFFFAOYSA-N 16196 HMDB00573 C00712 445639 LMFA01030002	0	OLEATE-CPD	C18H33O2
Gentisate aldehyde	True	CLFRCXCBWIQVRN-UHFFFAOYSA-N 28508 HMDB04062 C05585 70949	2	CPD-7616  ;  CPD-14558	C7H6O3
beta-1,4-mannose-N-acetylglucosamine	True	KFEUJDWYNGMDBV-MMOUBBDDSA-N HMDB06535 53477853	3	CPD-8546  ;  BETA-D-GALACTOSYL-ETCETERA-GLUCOSAMINE  ;  CPD1G-1  ;  CPD-10686	C14H25N1O11
13-cis-retinoyl-beta-D-glucuronide	False	MTGFYEHKPMOVNE-LUGHBPAASA-N 28870 HMDB03141 C11061	1
agmatinium(2+)	True	QYPPJABKJHAVHS-UHFFFAOYSA-N 17431 HMDB01432 C00179 199	2	AGMATHINE	C5H16N4
3-oxo-4-methyl-pentanoyl-CoA	True	NVBSRDSMDMDKDD-UTQFGUDVSA-N	2	CPD-12012  ;  K-HEXANOYL-COA  ;  6-HYDROXY-3-HEXENOYL-COA	C27H40N7O18P3S1
15-epi-lipoxin A5	True		1	5Z13E-69-ALPHA-EPOXY-11-ALPHA-HYDROXPROS  ;  5Z13E-9-ALPHA-HYDROXY-1115-DIOXOPROS  ;  CPD66-57  ;  HYDROXY-915-DIOXOPROSTA-13-ENOATE	C20H29O5
4-hydroxyvitamin A1	True	IOELQUUUYMBPSA-UHFFFAOYSA-N 4363341	1	CPD-8723  ;  CPD-7093	C20H30O2
Dimethylallyl diphosphate	True	CBIDRCWHNCKSTO-UHFFFAOYSA-N 16057 HMDB01120 C00235 647 LMPR01010001	3	CPD-4211	C5H9O7P2
GlcA-GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)	False		0
Glycylleucine	True	DKEXFJVMVGETOO-LURJTMIESA-N 185298 HMDB00759 C02155 92843	1	CPD-9372  ;  CPD-12312  ;  3-AMINO-6-ACETAMIDOHEXANOATE  ;  CPD-567  ;  N-ACETYL-L-LYSINE	C8H16N2O3
3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one	False	CFVCOEMVLNMDAX-IPOLZTJNSA-N	1
Dolichyl beta-D-glucosyl phosphate, human uterine homolog	False	15812	3
GA2	False		0
tetracosapentaenoic acid, n-3	False	NPTIBOCVSPURCS-UHFFFAOYSA-N HMDB06323 52921801 LMFA01030821	0
heparan sulfate, degradation product 3	False		0
methylglyoxal	True	AIJULSRZWUXGPQ-UHFFFAOYSA-N 17158 HMDB01167 C00546 880	10	METHYL-GLYOXAL	C3H4O2
3-oxopalmitoleoyl-CoA	True	JDNARGYWMLYADA-YJTQDTQQSA-N 15491 HMDB06402 C05259 440601	2	3-OXOPALMITOYL-COA	C37H58N7O18P3S1
keratan sulfate I biosynthesis, precursor 7	False		0
17beta-estradiol-2,3-quinone	False	LBSRSXWOMYPVBY-LRDWQAQRSA-N	3
R total 2 coenzyme A	False		5
pregnenolone	True	ORNBQBCIOKFOEO-QGVNFLHTSA-N 16581 HMDB00253 C01953 8955 LMST02030088	3	PREGNENOLONE	C21H32O2
3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA	True	KWSORACHQGPYFT-GVFMIWBJSA-N	2	3-OXOPALMITOYL-COA	C37H60N7O18P3S1
acrylate	True	NIXOWILDQLNWCW-UHFFFAOYSA-N 18308 C00511 6581 LMFA01030193	1	ACRYLATE	C3H4O2
adenosine 3',5'-bismonophosphate(4-)	True	WHTCPDAXWFLDIH-KQYNXXCUSA-N 17985 HMDB00061 C00054 159296	26	3-5-ADP	C10H11N5O10P2
3-iodo-L-tyrosine	True	UQTZMGFTRHFAAM-ZETCQYMHSA-N 27847 HMDB00021 C02515 439744	3	CPD-12288	C9H10I1N1O3
chondroitin sulfate C (GalNAc6S-GlcA) and D (GlcNAc6S-GlcA2S), precursor 1	False		0
Lactose	True	GUBGYTABKSRVRQ-QKKXKWKRSA-N 17716 HMDB00186 C00243 440995	4	Alpha-lactose	C12H22O11
({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)	False		4
3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate	False	JVEAMJNRAYIMIF-GFCCVEGCSA-N	2
