reaction name	ECN	has match in metaCyc	contains atom mapping	left mets	right mets	missingMets
(3-hydroxyisovalerylcoa-->3-hydroxyisovalerylcarnitine)c		False	False	RGJOEKWQDUBAIZ-IBOSZNHHSA-N	PHIQHXFUZVPYII-ZCFIWIBFSA-N+PEVZKILCBDEOBT-XBTRWLRFSA-N	
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+C05744	XJLXINKUBYWONI-NNYOXOHSSA-K+C04618	
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+C05758	C05757	
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase; (3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+C05751	C04620	
(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+C05753	XJLXINKUBYWONI-NNYOXOHSSA-K+C04619	
(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+C05756	XJLXINKUBYWONI-NNYOXOHSSA-K+C05757	
(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+C05746	XJLXINKUBYWONI-NNYOXOHSSA-K+C05747	
(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+C05750	XJLXINKUBYWONI-NNYOXOHSSA-K+C04620	
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+C05760		
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+C05762	XJLXINKUBYWONI-NNYOXOHSSA-K+C04633	
(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	2.3.1.85	False	False	XJLXINKUBYWONI-NNYOXOHSSA-K+C05759	XJLXINKUBYWONI-NNYOXOHSSA-K	
(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase Arachidonic acid metabolism EC:2.3.2.2	2.3.2.2	True	True	WHUUTDBJXJRKMK-VKHMYHEASA-N+YEESKJGWJFYOOK-FDFHNCONSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+GWNVDXQDILPJIG-OJJQZRKESA-N	
(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase Cyanoamino acid metabolism EC:2.3.2.2	2.3.2.2	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+CURLTUGMZLYLDI-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+WHUUTDBJXJRKMK-VKHMYHEASA-N+BXRLWGXPSRYJDZ-VKHMYHEASA-N	
(5-L-Glutamyl)-L-amino-acid 5-glutamyltransferase (cyclizing) Glutathione metabolism EC:2.3.2.4	2.3.2.4	False	False	XUJNEKJLAYXESH-REOHCLBHSA-N+ODHCTXKNWHHXJC-UHFFFAOYSA-N	RITKHVBHSGLULN-WHFBIAKZSA-N	
(R)-3-Amino-2-methylpropanoate:2-oxoglutarate aminotransferase EC:2.6.1.22	2.6.1.22	False	False	VOKUMXABRRXHAR-UHFFFAOYSA-N+WHUUTDBJXJRKMK-VKHMYHEASA-N	KPGXRSRHYNQIFN-UHFFFAOYSA-N+QCHPKSFMDHPSNR-GSVOUGTGSA-N	
(R)-3-Hydroxybutanoate:NAD+ oxidoreductase	1.1.1.30	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+WDJHALXBUFZDSR-UHFFFAOYSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+WHBMMWSBFZVSSR-GSVOUGTGSA-N	
(R)-4-Phosphopantothenate:L-cysteine ligase EC:6.3.2.5	6.3.2.5	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XPPKVPWEQAFLFU-UHFFFAOYSA-N+IERHLVCPSMICTF-XVFCMESISA-N+XQYALQVLCNHCFT-CBAPKCEASA-N	XUJNEKJLAYXESH-REOHCLBHSA-N+PCDQPRRSZKQHHS-XVFCMESISA-N+XHFVGHPGDLDEQO-ZETCQYMHSA-N	
(R)-Mevalonate:NADP+ oxidoreductase (CoA acylating) Biosynthesis of steroids EC:1.1.1.34	1.1.1.34	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+CABVTRNMFUVUDM-VRHQGPGLSA-N	XJLXINKUBYWONI-NNYOXOHSSA-K+RGJOEKWQDUBAIZ-IBOSZNHHSA-N+KJTLQQUUPVSXIM-ZCFIWIBFSA-N	
(S)-2-methylbutanoyl-CoA:acceptor 2,3-oxidoreductase Valine, leucine and isoleucine degradation EC:1.3.99.12	1.3.99.12	False	False	PMWATMXOQQZNBX-DJVIHCHSSA-N+QNTNKSLOFHEFPK-UHFFFAOYSA-N	LYNVNYDEQMMNMZ-XGXNYEOVSA-N+ACTIUHUUMQJHFO-UHFFFAOYSA-N	
(S)-2-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylbutanoyl)transferase Valine, leucine and isoleucine degradation EC:2.3.1.168	2.3.1.168	False	False	LYNVNYDEQMMNMZ-XGXNYEOVSA-N+VLYUGYAKYZETRF-UHFFFAOYSA-N	RGJOEKWQDUBAIZ-IBOSZNHHSA-N+UFNCWFSSEGPJNL-UHFFFAOYSA-N	
(S)-3-Hydroxy-3-methylglutaryl-CoA acetoacetyl-CoA-lyase (CoA-acetylating) Synthesis and degradation of ketone bodies / Valine, leucine and isoleucine degradation / Butanoate metabolism EC:2.3.3.10	2.3.3.10	False	False	ZSLZBFCDCINBPY-ZSJPKINUSA-N+OJFDKHTZOUZBOS-CITAKDKDSA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+RGJOEKWQDUBAIZ-IBOSZNHHSA-N+CABVTRNMFUVUDM-VRHQGPGLSA-N	
(S)-3-Hydroxydodecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	4.2.1.17	False	False	IJFLXRCJWPKGKJ-LXIXEQKWSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+IRFYVBULXZMEDE-GMHMEAMDSA-N	
(S)-3-Hydroxydodecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35	1.1.1.35	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+HQANBZHVWIDNQZ-GMHMEAMDSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+IJFLXRCJWPKGKJ-LXIXEQKWSA-N	
(S)-3-Hydroxydodecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211	1.1.1.35	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+HQANBZHVWIDNQZ-GMHMEAMDSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+IJFLXRCJWPKGKJ-LXIXEQKWSA-N	
(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	4.2.1.17	True	True	DEHLMTDDPWDRDR-BCIKBWLNSA-N	JUPAQFRKPHPXLD-BBECNAHFSA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N	
(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35	1.1.1.35	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+NQMPLXPCRJOSHL-BBECNAHFSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+DEHLMTDDPWDRDR-BCIKBWLNSA-N	
(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211	1.1.1.35	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+NQMPLXPCRJOSHL-BBECNAHFSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+DEHLMTDDPWDRDR-BCIKBWLNSA-N	
(S)-3-Hydroxyisobutyryl-CoA hydro-lyase Valine, leucine and isoleucine degradation EC:4.2.1.17	4.2.1.17	True	True	WWEOGFZEFHPUAM-MIZDRFBCSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+NPALUEYCDZWBOV-NDZSKPAWSA-N	
(S)-3-Hydroxytetradecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	4.2.1.17	True	True	OXBHKMHNDGRDCZ-STLSENOWSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MBCVYCOKMMMWLX-QSGBVPJFSA-N	
(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211	1.1.1.35	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+IQNFBGHLIVBNOU-QSGBVPJFSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+OXBHKMHNDGRDCZ-STLSENOWSA-N	
(S)-3-Methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating) EC:1.2.4.4	1.2.4.4	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+UFNCWFSSEGPJNL-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+JVQYSWDUAOAHFM-UHFFFAOYSA-N+FCCDDURTIIUXBY-UHFFFAOYSA-N	
(S)-Hydroxydecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	4.2.1.17	True	True	HIVSMYZAMUNFKZ-PNPVFPMQSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MGNBGCRQQFMNBM-HSJNEKGZSA-N	
(S)-Hydroxydecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35	1.1.1.35	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+AZCVXMAPLHSIKY-HSJNEKGZSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+HIVSMYZAMUNFKZ-PNPVFPMQSA-N	
(S)-Hydroxydecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211	1.1.1.35	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+AZCVXMAPLHSIKY-HSJNEKGZSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+HIVSMYZAMUNFKZ-PNPVFPMQSA-N	
(S)-Hydroxyhexanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	4.2.1.17	True	True	VAAHKRMGOFIORX-IKTBLOROSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+OINXHIBNZUUIMR-HDRQGHTBSA-N	
(S)-Hydroxyhexanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35	1.1.1.35	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+NFOYYXQAVVYWKV-HDRQGHTBSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+VAAHKRMGOFIORX-IKTBLOROSA-N	
(S)-Hydroxyoctanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	4.2.1.17	True	True	ATVGTMKWKDUCMS-OTOYJEMWSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+CPSDNAXXKWVYIY-CECATXLMSA-N	
(S)-Hydroxyoctanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211	1.1.1.211	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+WPIVBCGRGVNDDT-CECATXLMSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+ATVGTMKWKDUCMS-OTOYJEMWSA-N	
(S)-Lactate:NAD+ oxidoreductase Glycolysis / Gluconeogenesis / Pyruvate metabolism EC:1.1.1.27	1.1.1.27	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+LCTONWCANYUPML-UHFFFAOYSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+JVTAAEKCZFNVCJ-REOHCLBHSA-N	
(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase Valine, leucine and isoleucine degradation EC:1.2.1.3	1.2.1.3	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+ZIYVHBGGAOATLY-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+VOKUMXABRRXHAR-UHFFFAOYSA-N	
(S)-Methylmalonate semialdehyde:oxygen oxidoreductase Valine, leucine and isoleucine degradation EC:1.2.3.1	1.2.3.1	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N+VOKUMXABRRXHAR-UHFFFAOYSA-N	MHAJPDPJQMAIIY-UHFFFAOYSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+ZIYVHBGGAOATLY-UHFFFAOYSA-N	
(S)-Methylmalonyl-CoA hydrolase Propanoate metabolism EC:3.1.2.17	3.1.2.17	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+RGJOEKWQDUBAIZ-IBOSZNHHSA-N+ZIYVHBGGAOATLY-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MZFOKIKEPGUZEN-IBNUZSNCSA-N	
1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	1.4.3.6	False	False	PCXDJQZLDDHMGX-UHFFFAOYSA-N+MHAJPDPJQMAIIY-UHFFFAOYSA-N+QGZKDVFQNNGYKY-UHFFFAOYSA-N	XFNJVJPLKCPIBV-UHFFFAOYSA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N	
1,4-alpha-glucan branching enzyme (glygn1 -> glygn2)	2.4.1.18	False	False			
1-acylglycerol-3-phosphate O-acyltransferase 1	2.3.1.51	False	False	RGJOEKWQDUBAIZ-IBOSZNHHSA-N+57739	LMGP10050000	
1-alpha hydroxylation of 25-hydroxy vitamin D		False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+GMRQFYUYWCNGIN-ZVUFCXRFSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+JWUBBDSIWDLEOM-DLBXBJKMSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K	
1-alpha,24R,25-Vitamin D-hydroxylase (D2)		False	False	KRGCLKZOZQUAFK-ODIZWMGWSA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+MYMOFIZGZYHOMD-UHFFFAOYSA-N+ZGLHBRQAEXKACO-WROXZXEWSA-N	
1-alpha,24R,25-Vitamin D-hydroxylase (D3)		False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+WFZKUWGUJVKMHC-LFGNEKGJSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+MYMOFIZGZYHOMD-UHFFFAOYSA-N+GMRQFYUYWCNGIN-ZVUFCXRFSA-N	
1-alpha-Vitamin D-24,25-hydroxylase (D2)		False	False	KRGCLKZOZQUAFK-ODIZWMGWSA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K	BPEQZNMKGFTMQE-DXYROGBQSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+MYMOFIZGZYHOMD-UHFFFAOYSA-N	
1-alpha-Vitamin D-24,25-hydroxylase (D3)		False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+WFZKUWGUJVKMHC-LFGNEKGJSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+MYMOFIZGZYHOMD-UHFFFAOYSA-N+FCKJYANJHNLEEP-SUUCIXNTSA-N	
1-alpha-Vitamin D-25-hydroxylase (D2)		False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+ZGLHBRQAEXKACO-WROXZXEWSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+MYMOFIZGZYHOMD-UHFFFAOYSA-N+KJKIIUAXZGLUND-WYBYICLWSA-N	
1-alpha-Vitamin D-25-hydroxylase (D3)		False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+GMRQFYUYWCNGIN-ZVUFCXRFSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+MYMOFIZGZYHOMD-UHFFFAOYSA-N+JWUBBDSIWDLEOM-DLBXBJKMSA-N	
1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	1.5.1.12	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+WHUUTDBJXJRKMK-VKHMYHEASA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+DWAKNKKXGALPNW-UHFFFAOYSA-N	
11-beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	False	False	XJLXINKUBYWONI-NNYOXOHSSA-K+JYGXADMDTFJGBT-VWUMJDOOSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+MFYSYFVPBJMHGN-ZPOLXVRWSA-N	
11-beta-hydroxysteroid dehydrogenase type 2		False	False	BAWFJGJZGIEFAR-NNYOXOHSSA-M+JYGXADMDTFJGBT-VWUMJDOOSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+MFYSYFVPBJMHGN-ZPOLXVRWSA-N	
13-cis-4-oxo-retinoic acid formation (oxidation)		False	False		MYMOFIZGZYHOMD-UHFFFAOYSA-N+SHGAZHPCJJPHSC-UHFFFAOYSA-N	
13-cis-4-oxo-retinoic acid isomerase		False	False		GGCUJPCCTQNTJF-UHFFFAOYSA-N	
13-cis-retinoic acid isomerase		False	False	SHGAZHPCJJPHSC-UHFFFAOYSA-N	SHGAZHPCJJPHSC-UHFFFAOYSA-N	
17-beta-hydroxysteroid dehydrogenase	1.1.1.62	False	False	BAWFJGJZGIEFAR-NNYOXOHSSA-M+VOXZDWNPVJITMN-ZBRFXRBCSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+DNXHEGUUPJUMQT-CBZIJGRNSA-N	
17-beta-hydroxysteroid dehydrogenase (type 7)	1.1.1.62	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+QQIVKFZWLZJXJT-DNKQKWOHSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+QGXBDMJGAMFCBF-HLUDHZFRSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K	
2,3-dioxo-L-gulonate decarboxylase (L-lyxonate-forming)		False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+QXKAIJAYHKCRRA-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+GJQWCDSAOUMKSE-STHAYSLISA-N	
2,3-dioxo-L-gulonate decarboxylase (L-xylonate-forming)		False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+QXKAIJAYHKCRRA-NUNKFHFFSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+GJQWCDSAOUMKSE-STHAYSLISA-N	
2,3-dioxo-L-gulonate:hydrogen peroxide oxireductase		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+MUBZPKHOEPUJKR-UHFFFAOYSA-N+UQPHVQVXLPRNCX-VKHMYHEASA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+GJQWCDSAOUMKSE-STHAYSLISA-N	
2,6 dimethylheptanoly CoA carnitine transferase		False	False	PHIQHXFUZVPYII-ZCFIWIBFSA-N+GPXWBKWDXPBLKS-MKXQCCAMSA-N	RGJOEKWQDUBAIZ-IBOSZNHHSA-N+QBYXBONNCVATNQ-UHFFFAOYSA-N	
2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming) Purine metabolism EC:6.3.3.1	6.3.3.1	False	False	XTWYTFMLZFPYCI-KQYNXXCUSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+NBIIXXVUZAFLBC-UHFFFAOYSA-N+PDACUKOKVHBVHJ-XVFCMESISA-N	ZKHQWZAMYRWXGA-KQYNXXCUSA-N+PMCOGCVKOAOZQM-XVFCMESISA-N	
2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate 7,8-8,9-dihydrolase Folate biosynthesis EC:3.5.4.16	3.5.4.16	False	False		XLYOFNOQVPJJNP-UHFFFAOYSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+DGGUVLXVLHAAGT-XINAWCOVSA-N	
2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate phosphohydrolase (alkaline optimum) Folate biosynthesis EC:3.1.3.1	3.1.3.1	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+NBIIXXVUZAFLBC-UHFFFAOYSA-N+YQIFAMYNGGOTFB-XINAWCOVSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+DGGUVLXVLHAAGT-XINAWCOVSA-N	
2-Aminoacrylate hydrolysis		False	False	QGZKDVFQNNGYKY-UHFFFAOYSA-N+LCTONWCANYUPML-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+UQBOJOOOTLPNST-UHFFFAOYSA-N	
